23,45,67,89,12,34,56,78,90,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
42,84,73,29,91,58,14,67,38,95,22,46,81,53,19,77,31,64,88,12,55,93,27,69,41,83,16,72,34,98,25,60,87,11,49,76,32,99,18,66,43,79,24,57,92,35,70,13,85,51
17,63,94,28,52,86,39,71,4,48,82,26,59,97,33,75,21,65,89,15,74,36,100,8,47,80,30,62,96,20,54,88,7,44,78,23,68,92,37,61,95,19,50,84,9,45,79,14,58,91
32,76,10,55,89,24,68,93,41,85,7,49,83,18,72,36,100,13,57,91,25,69,94,40,84,8,52,86,21,65,99,35,79,2,46,80,16,60,95,31,75,11,54,88,29,73,5,47,81,26
61,97,22,66,100,34,78,12,56,90,15,59,93,28,72,44,88,3,37,71,20,64,98,42,86,9,53,87,31,75,17,51,85,30,74,6,48,82,27,63,99,43,77,1,35,69,14,58,92,38
83,19,54,89,33,77,11,65,99,45,81,26,70,4,48,92,38,84,8,52,96,30,74,18,62,98,44,80,16,60,94,40,86,22,68,2,36,70,14,58,92,46,90,24,78,12,56,100,34,88
27,73,7,51,95,39,83,17,61,97,43,79,5,49,93,37,81,25,69,3,47,91,35,89,23,67,1,45,99,33,87,21,65,11,57,93,29,75,9,53,97,41,85,19,63,99,45,81,15,59
94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,24,78,2,46,90,34
89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61,9,55,91,33,87,21,67,3,51,95,41,85,11,57,93,29,75,13,59
97,43,79,25,71,5,49,93,37,81,13,67,1,45,89,33,77,11,65,99,35,91,27,73,9,55,91,35,89,21,67,3,57,93,29,75,7,51,97,41,85,19,63,99,45,81,15,59,93,37
88,34,80,16,62,100,46,92,38,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40
75,21,67,3,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61,9,55,91,33,87
62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82
49,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61,9,55,91,33,87,21,67,3,59
86,32,78,14,60,96,42,88,34,80,16,62,100,46,92,38,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28
73,9,55,91,33,87,21,67,3,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61
100,46,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44
87,33,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61,9,55,91,33,87,21,67,3,59,95,41,87
74,20,66,12,58,94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22
61,7,53,99,45,91,27,73,9,55,91,33,87,21,67,3,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69
98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18
85,31,77,13,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61,9,55,91,33,87
72,8,54,100,46,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8
59,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61,9,55,91,33,87,21,67,3,59,95,41,87,23,79
96,42,88,34,80,16,62,100,46,92,38,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58
83,29,75,11,57,93,39,85,31,77,13,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79
70,6,50,94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22,78,14
57,13,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61,9,55,91,33,87,21,67
94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22,78,14,60,96,32
81,27,73,9,55,91,33,87,21,67,3,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79
68,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98
55,11,57,93,39,85,31,77,13,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61
