100,46,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44
87,33,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61,9,55,91,33,87,21,67,3,59,95,41,87
74,20,66,12,58,94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22
61,7,53,99,45,91,27,73,9,55,91,33,87,21,67,3,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69
98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18
85,31,77,13,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61,9,55,91,33,87
72,8,54,100,46,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8
59,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61,9,55,91,33,87,21,67,3,59,95,41,87,23,79
96,42,88,34,80,16,62,100,46,92,38,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58
83,29,75,11,57,93,39,85,31,77,13,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79
70,6,50,94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22,78,14
57,13,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79,15,61,9,55,91,33,87,21,67
94,40,86,22,78,14,60,96,32,76,10,54,90,26,70,4,48,92,38,84,8,52,98,44,80,16,62,100,36,72,18,64,2,46,82,28,74,20,66,12,58,94,40,86,22,78,14,60,96,32
81,27,73,9,55,91,33,87,21,67,3,59,95,41,87,23,79,15,61,97,43,89,35,81,17,63,99,45,91,27,73,7,51,95,39,83,19,65,1,47,93,37,89,23,69,5,49,97,43,79
